Angry Birds,Droid Invaders,Pie3dDemo
1124.7618542877062,1170.0859088721002,1388.4169468186462
1124.7618542877062,1204.8552168680185,1338.2059283124581
1210.616743069754,1204.8552168680185,1388.4169468186462
1124.7618542877062,1137.3618542877061,1137.3618542877061
1259.748579448331,1137.3618542877061,1194.6289498103956
1247.4770589791833,1204.8552168680185,1178.2669225181985
1165.6669225181986,1137.3618542877061,1137.3618542877061
1004.6618542877063,1204.8552168680185,1178.2669225181985
1072.1552168680187,1178.2669225181985,1170.0859088721002
1004.6618542877063,1137.3618542877061,1137.3618542877061
1045.5669225181987,1307.1178874442494,1124.7618542877062
1072.1552168680187,1239.624524863937,1165.6669225181986
1004.6618542877063,1137.3618542877061,1157.4859088721
1037.3859088721001,1178.2669225181985,1192.2552168680186
1072.1552168680187,1170.0859088721002,1124.7618542877062
1045.5669225181987,1137.3618542877061,1157.4859088721
1004.6618542877063,1178.2669225181985,1165.6669225181986
1037.3859088721001,1178.2669225181985,1124.7618542877062
1045.5669225181987,1137.3618542877061,1210.66249757174
1004.6618542877063,1178.2669225181985,1124.7618542877062
1072.1552168680187,1170.0859088721002,1124.7618542877062
1045.5669225181987,1178.2669225181985,1192.2552168680186
1004.6618542877063,1137.3618542877061,1124.7618542877062
1072.1552168680187,1178.2669225181985,1165.6669225181986
1045.5669225181987,1178.2669225181985,1165.6669225181986
1004.6618542877063,1137.3618542877061,1157.4859088721
1137.3618542877061,1178.2669225181985,1124.7618542877062
1204.8552168680185,1137.3618542877061,1210.66249757174
1137.3618542877061,1178.2669225181985,1124.7618542877062
1178.2669225181985,1170.0859088721002,1178.2669225181985
1178.2669225181985,1178.2669225181985,1204.8552168680185
1137.3618542877061,1137.3618542877061,1137.3618542877061
1178.2669225181985,1170.0859088721002,1178.2669225181985
1170.0859088721002,1178.2669225181985,1178.2669225181985
1178.2669225181985,1178.2669225181985,1137.3618542877061
1137.3618542877061,1178.2669225181985,1178.2669225181985
1170.0859088721002,1137.3618542877061,1170.0859088721002
1204.8552168680185,1170.0859088721002,1178.2669225181985
1137.3618542877061,1178.2669225181985,1137.3618542877061
1178.2669225181985,1137.3618542877061,1194.6289498103956
1137.3618542877061,1204.8552168680185,1137.3618542877061
1178.2669225181985,1137.3618542877061,1178.2669225181985
